N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
240,2,79,47,7,8.3292,6.75,-1646.8033
234,4,33,59,8,8.3376,6.3333,-1644.954
222,27,67,27,34,8.045,7.5946,-1657.4199
252,0,167,60,0,8.3532,8.3532,-1743.2018
237,15,107,33,27,8.1688,7.8143,-1747.5801
227,44,60,22,17,7.9868,7.0088,-1745.495
258,0,167,84,0,8.345,8.2519,-1765.3596
254,0,56,80,23,8.189,8.0394,-1785.7091
242,21,100,32,29,8.1488,7.4669,-1800.838
250,0,76,47,2,8.408,4.728,-1798.3951
250,19,24,74,8,8.068,7.56,-1801.7178
262,4,76,34,15,8.1908,7.5305,-1822.9978
252,27,26,54,12,8.0675,7.496,-1830.5493
274,0,138,71,0,8.3467,7.3832,-1846.2307
252,6,113,57,16,8.3095,7.75,-1880.5097
262,0,143,57,10,8.3664,7.9962,-1894.1596
252,19,60,3,43,8.004,7.0278,-1907.5041
271,0,80,115,0,8.2878,8.1439,-1942.5413
276,2,18,53,20,8.1449,7.3877,-1929.4016
271,4,26,56,12,8.1624,6.7491,-1937.2754
252,58,48,15,25,7.8651,7.7897,-1980.3502
272,0,142,74,5,8.3713,7.9669,-1993.1281
277,0,155,55,20,8.3646,7.9278,-2022.7212
252,72,48,2,47,7.8413,7.6627,-2024.0537
252,74,49,7,46,7.8651,7.6587,-2023.6967
302,0,80,168,0,8.4238,8.149,-2047.8244
282,0,150,50,29,8.3227,7.6312,-2054.6569
300,0,48,143,0,8.3233,8.24,-2087.7885
267,26,111,39,28,8.1985,7.7603,-2120.0748
298,0,34,99,9,8.2181,7.7181,-2109.5092
289,1,108,25,2,8.2872,7.4048,-2139.3513
312,0,180,8,56,8.2564,7.7083,-2151.0512
320,0,25,159,6,8.3875,8.1656,-2171.9438
282,12,121,55,19,8.2837,7.8759,-2199.624
322,0,182,88,0,8.4938,8.0342,-2199.4232
317,0,30,134,3,8.3943,7.8959,-2198.1156
283,2,122,48,0,8.47,6.2403,-2217.681
320,0,43,108,5,8.3781,7.3312,-2217.7338
322,0,26,154,0,8.3882,7.9286,-2220.1287
286,4,49,13,53,8.1608,7.7203,-2251.4782
291,9,104,38,9,8.3677,6.6323,-2317.4725
297,8,150,58,16,8.3232,7.9596,-2343.5527
307,0,160,77,14,8.3974,8.0033,-2345.077
298,0,112,53,2,8.4832,6.0906,-2363.6881
315,0,56,47,0,8.2603,7.7841,-2380.5325
320,0,224,76,0,8.3781,8.3031,-2413.8378
322,4,95,48,8,8.295,7.6025,-2402.9034
309,0,146,50,0,8.6311,6.5016,-2404.8524
326,0,224,95,0,8.4387,8.3344,-2433.8925
317,0,182,83,5,8.4322,8.1041,-2457.2505
387,0,185,73,0,8.491,7.2196,-2444.1087
312,20,24,55,39,8.1378,7.8526,-2468.3042
319,7,34,35,21,8.2257,7.1223,-2465.8681
297,40,115,31,33,8.1987,7.734,-2493.5718
333,0,8,51,14,8.1922,6.8078,-2479.1639
312,16,160,37,31,8.3077,7.8846,-2529.3502
