N_bulk,Avg_bulk,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,FCC,HCP,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14
8766,12.2001,54,369,6309,1769,246,5,3765,1435,42,11.1797,50,35,67,60,78,80,126,159,325,274,386,675,5291,1012,148
9705,12.1551,62,354,7434,1695,150,3,4661,1672,43,11.2964,16,33,60,66,68,81,114,165,307,285,420,682,6351,968,89
657,12.4886,3,67,280,227,74,5,3,3,1,1.446,280,168,84,40,29,22,9,8,7,4,2,2,2,0,0
672,12.4568,6,77,273,248,56,12,11,4,0,1.5521,304,147,85,38,30,19,13,13,4,4,7,6,2,0,0
1200,12.4367,5,72,605,435,78,5,164,85,1,6.8608,148,102,65,66,55,56,54,56,66,57,75,88,237,66,9
1517,12.2228,2,42,1128,309,34,1,664,245,3,10.7383,22,11,18,18,21,13,29,46,50,63,70,137,885,126,8
2089,12.0507,16,76,1810,155,26,3,1192,481,20,10.9751,32,29,28,11,16,9,18,17,96,47,59,96,1569,60,2
2997,12.0697,30,118,2492,312,37,5,1666,609,31,10.8996,60,30,42,31,29,18,26,37,121,71,80,147,2159,138,8
4387,12.0631,40,185,3656,455,42,5,2431,889,42,10.9619,31,30,57,44,50,39,43,50,224,132,148,273,3117,142,7
5617,12.003,60,264,4862,390,25,2,3345,1233,57,11.3416,18,12,57,16,16,29,26,41,272,115,178,338,4316,183,0
6785,12.0004,84,296,5878,470,33,2,4001,1523,73,11.2697,36,24,52,39,33,38,51,59,295,169,216,384,5148,236,5
7781,11.9928,105,336,6720,546,28,6,4595,1674,66,11.307,19,25,56,35,51,44,52,70,345,179,255,468,5928,249,5
520,12.4712,6,49,218,191,53,3,2,6,6,1.3365,232,132,69,27,25,7,6,10,8,2,1,1,0,0,0
526,12.5114,6,44,219,196,54,7,3,7,4,1.481,242,122,51,37,23,13,14,10,4,4,2,3,1,0,0
932,12.5494,2,55,402,378,92,3,32,41,4,4.633,136,139,97,69,75,63,61,61,57,29,37,39,46,20,3
1199,12.4562,4,45,634,434,80,2,233,151,10,9.7398,12,25,27,33,24,37,46,67,95,73,83,125,364,148,40
1476,12.4322,0,39,848,502,86,1,398,218,4,11.0549,13,6,15,10,13,18,27,36,56,60,93,160,641,267,61
2045,12.4597,6,63,1103,735,134,4,550,206,5,10.6968,54,34,28,27,29,35,27,37,62,78,104,168,875,412,75
2543,12.1553,7,85,1993,399,47,5,1345,401,16,10.8183,52,25,22,25,28,31,28,57,77,86,91,174,1700,139,8
3520,12.0347,32,129,3061,270,20,5,2000,827,40,11.1276,34,13,43,30,12,22,36,25,180,60,113,196,2664,91,1
4728,12.0408,49,200,3965,452,41,4,2700,925,42,11.1986,22,13,44,28,29,47,31,52,220,125,144,316,3492,154,11
5973,12.0316,75,265,5029,531,55,3,3333,1354,47,11.2595,17,20,46,31,41,36,53,64,255,166,219,327,4467,221,10
363,12.5069,0,34,145,152,30,2,4,12,1,2.708,99,94,40,31,22,13,18,6,5,8,10,7,6,4,0
371,12.5094,1,25,165,148,28,4,10,20,4,2.9434,95,80,46,31,30,16,17,10,14,7,7,6,12,0,0
709,12.4104,2,30,396,240,39,1,72,103,26,5.9633,73,66,56,35,63,41,51,44,69,41,34,34,87,15,0
882,12.2993,4,23,588,240,26,1,200,220,37,9.0612,14,19,24,28,39,31,31,49,115,64,61,71,258,74,4
1153,12.2082,4,33,859,235,20,2,341,329,47,9.3001,25,27,45,29,35,32,31,37,153,71,51,79,465,70,3
1597,12.2586,8,53,1111,363,61,0,437,411,42,9.355,57,43,50,39,48,47,38,52,157,82,85,116,657,107,19
2255,12.3228,11,108,1390,635,110,1,607,405,33,9.604,52,63,54,61,65,67,72,79,182,115,135,186,827,246,51
2719,12.2718,19,93,1841,659,104,2,915,529,38,10.4285,33,36,40,40,44,42,58,77,203,143,159,195,1288,310,51
3941,12.2502,10,147,2761,883,130,7,1369,751,61,10.2789,56,54,85,70,82,61,85,80,313,189,212,294,1928,371,61
4950,12.2788,18,155,3370,1229,169,4,1703,993,61,10.7471,33,36,71,62,45,79,85,103,374,200,269,388,2483,626,96
157,12.5796,1,11,63,59,18,4,0,2,0,1.3694,76,32,16,12,6,5,7,1,1,1,0,0,0,0,0
170,12.4353,3,17,72,60,17,1,1,1,0,1.7765,70,40,19,8,8,8,5,6,2,1,2,1,0,0,0
558,12.2885,0,18,378,146,15,1,147,140,13,9.5717,14,10,15,12,18,11,9,23,60,48,27,42,222,43,4
710,12.2028,3,19,532,140,13,2,215,228,25,9.3901,11,14,24,17,26,13,16,35,94,48,32,52,297,30,1
931,12.2331,5,34,660,204,27,1,257,273,36,9.4049,20,13,25,28,33,24,39,27,107,73,43,72,355,69,3
1171,12.1264,5,54,914,186,10,2,411,360,39,9.6302,25,26,32,23,32,23,28,34,152,63,46,70,565,52,0
1557,12.1747,9,70,1160,278,38,2,467,451,53,9.4271,29,33,59,37,52,49,38,59,181,77,60,113,682,78,10
2278,12.2485,23,99,1514,532,99,3,631,505,55,9.0601,123,96,74,54,75,50,59,58,217,108,101,157,920,166,20
3076,12.2272,14,127,2164,683,81,5,1005,692,62,10.1339,52,48,48,63,59,66,73,80,273,147,165,219,1489,275,19
3556,12.1856,15,107,2691,673,60,6,1396,775,68,10.3479,29,37,52,56,71,62,65,111,311,189,167,285,1849,263,9
229,12.4367,6,31,81,80,30,1,0,1,0,0.8035,122,69,17,10,7,1,3,0,0,0,0,0,0,0,0
258,12.4729,3,28,101,89,31,4,0,1,0,0.624,153,73,18,5,8,1,0,0,0,0,0,0,0,0,0
496,12.4375,3,34,228,206,24,1,34,52,5,5.377,70,41,45,28,42,30,31,40,49,28,29,26,33,4,0
657,12.5099,0,30,310,270,46,1,93,63,7,8.0624,27,20,22,29,38,30,39,52,45,68,71,70,110,30,6
837,12.4564,2,26,452,304,51,2,204,99,4,10.2748,39,11,17,11,12,20,14,20,33,36,38,74,317,166,29
923,12.4626,0,24,500,347,52,0,265,129,0,11.3803,2,3,3,1,2,10,16,16,32,35,65,96,427,185,30
1137,12.4916,3,28,600,419,87,0,299,148,4,11.131,20,13,7,11,11,10,11,14,35,46,62,109,474,259,55
1402,12.5742,0,34,653,592,122,1,272,184,6,11.0371,29,13,14,17,18,14,15,30,41,46,68,144,532,344,77
1907,12.2947,15,65,1228,521,67,6,689,299,14,10.4772,70,30,33,22,24,20,26,50,84,60,72,152,954,276,34
3004,12.1801,28,138,2152,595,77,5,1128,581,43,9.5123,131,95,95,73,69,68,73,80,205,104,127,187,1524,156,17
144,12.5069,0,17,60,47,17,3,6,9,1,3.5625,48,12,16,11,4,12,5,7,8,6,7,3,5,0,0
149,12.5973,0,10,64,55,16,4,2,4,1,2.4295,47,27,28,7,8,6,9,8,1,5,1,1,1,0,0
319,12.5737,2,6,144,142,24,1,40,30,0,7.8621,24,15,16,16,9,8,21,18,21,26,25,34,59,27,0
519,12.2062,3,13,389,102,12,0,97,241,0,11.1156,5,7,3,2,4,6,6,9,11,11,25,44,336,48,2
615,12.0748,2,23,519,64,6,0,186,305,0,11.5789,5,1,0,2,3,1,1,5,7,11,14,44,496,25,0
686,12.0583,2,18,609,52,5,0,236,343,0,11.6341,7,2,0,3,2,1,2,3,6,5,15,34,573,31,2
850,12.0588,4,30,733,73,9,0,295,376,1,10.8541,33,16,10,3,6,4,10,5,6,9,20,47,657,24,0
1364,12.0887,9,54,1127,143,25,3,455,543,8,10.6085,48,37,20,13,12,13,17,10,13,31,43,74,987,46,0
1634,12.052,12,70,1388,135,25,1,593,680,0,11.3635,13,11,13,3,8,9,11,12,20,37,62,110,1257,64,4
2176,12.0685,12,84,1838,215,21,3,1002,686,0,11.4802,25,9,4,6,8,9,13,18,18,29,76,155,1688,113,5
93,12.1075,0,0,83,10,0,0,74,4,0,12.0323,0,0,0,0,0,0,0,0,0,1,0,4,78,10,0
101,12.1188,0,0,90,10,1,0,41,37,6,10.495,0,1,3,2,0,0,0,0,21,3,1,3,63,3,1
97,12.1649,0,0,83,12,2,0,62,16,0,11.5155,0,1,0,1,0,0,0,2,2,2,2,7,73,6,1
100,12.13,0,0,87,13,0,0,39,38,4,10.75,0,2,3,0,0,0,0,0,20,0,0,0,68,7,0
102,12.1667,0,1,83,18,0,0,72,8,0,12.0,0,0,0,0,0,0,0,0,2,0,1,3,83,13,0
106,12.5,0,1,59,38,8,0,7,27,7,6.1981,1,7,8,10,9,7,11,13,17,8,4,6,4,0,1
116,12.2931,0,0,82,34,0,0,5,38,20,6.3879,1,6,8,10,9,6,15,7,34,8,2,0,10,0,0
116,12.0345,0,0,112,4,0,0,109,0,0,12.0345,0,0,0,0,0,0,0,0,0,0,0,0,112,4,0
116,12.1897,0,0,95,20,1,0,76,13,0,11.8879,0,0,0,0,1,0,0,0,1,0,3,7,92,12,0
